       1	N	48
       1	J	48
       0	J	48
       1	R	48
       2	N	49
       2	J	49
       1	W	49
       2	R	49
       3	N	64
       3	J	64
       2	E	68
       1	J	68
       1	R	68
       4	N	69
       4	J	69
       1	W	69
       3	R	69
       3	W	75
       4	R	75
       5	N	107
       5	J	107
       0	W	108
       5	R	108
       5	J	110
       5	E	110
       4	R	110
       4	W	116
       0	R	116
       0	J	748
       4	R	748
       4	W	749
       0	R	749
       0	J	811
       4	R	811
       4	W	811
       0	R	811
       0	J	821
       4	R	821
       4	W	821
       0	R	821
       0	J	870
       4	R	870
       4	W	870
       0	R	870
       0	J	998
       4	R	998
       4	W	998
       0	R	998
       0	J	1044
       4	R	1044
       4	W	1044
       0	R	1044
       0	J	1145
       4	R	1145
       4	W	1151
       0	R	1151
       0	J	1217
       4	R	1217
       4	W	1217
       0	R	1217
       0	J	1846
       4	R	1846
       6	N	1847
       6	J	1847
       4	W	1848
       6	R	1848
       7	N	1850
       7	J	1851
       8	N	1851
       8	J	1851
       9	N	1852
       9	J	1852
      10	N	1853
      10	J	1853
      11	N	1853
      11	J	1853
      12	N	1854
      12	J	1854
      13	N	1855
      13	J	1855
      14	N	1855
      14	J	1855
      15	N	1856
      15	J	1856
      16	N	1857
      16	J	1857
       6	W	1857
      16	R	1857
      16	J	1872
      15	R	1872
      15	J	1887
      14	R	1887
      14	J	1902
      13	R	1902
      13	J	1917
      12	R	1917
      12	J	1932
      11	R	1932
      11	J	1947
      10	R	1947
      10	J	1962
       9	R	1962
       9	J	1977
       8	R	1977
       8	J	1992
       7	R	1992
       7	J	2007
      16	R	2007
      16	J	2022
      15	R	2022
      15	J	2037
      14	R	2037
      14	J	2052
      13	R	2052
      13	J	2067
      12	R	2067
      12	J	2082
      11	R	2082
      11	J	2097
      10	R	2097
      10	J	2112
       9	R	2112
       9	J	2127
       8	R	2127
       8	J	2142
       7	R	2142
       7	J	2157
      16	R	2157
      16	J	2172
      15	R	2172
      15	J	2187
      14	R	2187
      14	J	2202
      13	R	2202
      13	J	2217
      12	R	2217
      12	J	2232
      11	R	2232
      11	J	2247
      10	R	2247
      10	J	2262
       9	R	2262
       9	J	2277
       8	R	2277
       8	J	2292
       7	R	2292
       7	J	2307
      16	R	2307
      16	J	2322
      15	R	2322
      15	J	2337
      14	R	2337
      14	J	2352
      13	R	2352
      13	J	2367
      12	R	2367
      12	J	2382
      11	R	2382
      11	J	2397
      10	R	2397
      10	J	2412
       9	R	2412
       9	J	2427
       8	R	2427
       8	J	2442
       7	R	2442
       7	J	2457
      16	R	2457
      16	J	2472
      15	R	2472
      15	J	2487
      14	R	2487
      14	J	2502
      13	R	2502
      13	J	2517
      12	R	2517
      12	J	2532
      11	R	2532
      11	J	2547
      10	R	2547
      10	J	2562
       9	R	2562
       9	J	2577
       8	R	2577
       8	J	2592
       7	R	2592
       7	J	2607
      16	R	2607
      16	J	2622
      15	R	2622
      15	J	2637
      14	R	2637
      14	J	2652
      13	R	2652
      13	J	2667
      12	R	2667
      12	J	2682
      11	R	2682
      11	J	2697
      10	R	2697
      10	J	2712
       9	R	2712
       9	J	2727
       8	R	2727
       8	J	2742
       7	R	2742
       7	J	2757
      16	R	2757
      16	J	2772
      15	R	2772
      15	J	2787
      14	R	2787
      14	J	2802
      13	R	2802
      13	J	2817
      12	R	2817
      12	J	2832
      11	R	2832
      11	J	2847
      10	R	2847
      10	J	2862
       9	R	2862
       9	J	2877
       8	R	2877
       8	J	2892
       7	R	2892
       7	W	2902
      16	R	2902
      16	J	2917
      15	R	2917
      15	J	2932
      14	R	2932
      14	J	2947
      13	R	2947
      13	J	2962
      12	R	2962
      12	J	2977
      11	R	2977
      11	J	2992
      10	R	2992
       7	J	3007
      10	J	3007
       7	R	3007
       7	W	3007
       9	R	3007
